Fecha ,28 dias,1 an,3 an,5 an,10 an
14/03/2013,3.96,NA,4.44,NA,NA
21/03/2013,3.95,NA,NA,NA,NA
27/03/2013,3.95,NA,NA,4.63,NA
04/04/2013,3.88,4.10,NA,NA,5.00
11/04/2013,3.81,NA,4.27,NA,NA
18/04/2013,3.81,NA,NA,NA,NA
25/04/2013,3.76,NA,NA,4.15,NA
02/05/2013,3.76,3.95,NA,NA,NA
09/05/2013,3.71,NA,4.00,NA,NA
16/05/2013,3.72,NA,NA,NA,4.64
23/05/2013,3.72,NA,NA,4.14,NA
30/05/2013,3.71,4.01,NA,NA,NA
06/06/2013,3.71,NA,4.35,NA,NA
13/06/2013,3.77,NA,NA,NA,NA
20/06/2013,3.81,NA,NA,4.70,NA
27/06/2013,3.82,4.08,NA,NA,6.20
04/07/2013,3.80,NA,4.69,NA,NA
11/07/2013,3.83,NA,NA,NA,NA
18/07/2013,3.85,NA,NA,NA,NA
25/07/2013,3.90,4.00,NA,NA,NA
01/08/2013,3.88,NA,4.71,NA,NA
08/08/2013,3.84,NA,NA,NA,5.93
15/08/2013,3.84,NA,NA,NA,NA
22/08/2013,3.83,4.00,NA,NA,NA
29/08/2013,3.83,NA,4.87,NA,NA
05/09/2013,3.83,NA,NA,NA,NA
12/09/2013,3.65,NA,NA,NA,NA
19/09/2013,3.56,3.70,NA,NA,6.13
26/09/2013,3.50,NA,4.34,NA,NA
03/10/2013,3.44,NA,NA,NA,NA
10/10/2013,3.40,NA,NA,4.79,NA
17/10/2013,3.38,3.53,NA,NA,NA
24/10/2013,3.35,NA,4.04,NA,NA
31/10/2013,3.38,NA,NA,NA,5.97
07/11/2013,3.36,NA,NA,5.22,NA
14/11/2013,3.39,3.60,NA,NA,NA
21/11/2013,3.40,NA,4.35,NA,NA
28/11/2013,3.40,NA,NA,NA,NA
05/12/2013,3.38,NA,NA,5.12,NA
11/12/2013,3.34,3.64,NA,NA,6.33
19/12/2013,3.27,NA,4.38,NA,NA
26/12/2013,3.18,NA,NA,NA,NA
02/01/2014,3.16,NA,NA,5.33,NA
09/01/2014,3.17,3.65,NA,NA,NA
16/01/2014,3.05,NA,5.06,NA,NA
23/01/2014,3.13,NA,NA,NA,6.46
30/01/2014,3.18,NA,NA,5.21,NA
06/02/2014,3.18,3.78,NA,NA,NA
13/02/2014,3.16,NA,4.86,NA,NA
20/02/2014,3.14,NA,NA,NA,NA
27/02/2014,3.15,NA,NA,5.09,NA
06/03/2014,3.16,3.67,NA,NA,6.32
13/03/2014,3.14,NA,4.80,NA,NA
20/03/2014,3.19,NA,NA,NA,NA
27/03/2014,3.19,NA,NA,5.06,NA
03/04/2014,3.22,3.67,NA,NA,NA
10/04/2014,3.20,NA,4.72,NA,NA
16/04/2014,3.22,NA,NA,NA,6.15
24/04/2014,3.25,NA,NA,5.07,NA
30/04/2014,3.25,3.64,NA,NA,NA
08/05/2014,3.25,NA,4.70,NA,NA
15/05/2014,3.26,NA,NA,NA,NA
22/05/2014,3.28,NA,NA,4.80,NA
29/05/2014,3.31,3.61,NA,NA,5.87
05/06/2014,3.29,NA,4.57,NA,NA
12/06/2014,2.92,NA,NA,NA,NA
19/06/2014,2.95,NA,NA,4.57,NA
26/06/2014,2.90,3.10,NA,NA,NA
03/07/2014,2.85,NA,4.41,NA,NA
10/07/2014,2.85,NA,NA,NA,5.69
17/07/2014,2.84,NA,NA,4.53,NA
24/07/2014,2.82,3.03,NA,NA,NA
31/07/2014,2.80,NA,4.42,NA,NA
07/08/2014,2.78,NA,NA,NA,NA
14/08/2014,2.77,NA,NA,4.57,NA
21/08/2014,2.76,3.01,NA,NA,5.65
28/08/2014,2.76,NA,4.57,NA,NA
04/09/2014,2.76,NA,NA,NA,NA
11/09/2014,2.84,NA,NA,4.74,NA
18/09/2014,2.86,3.09,NA,NA,NA
25/09/2014,2.86,NA,4.81,NA,NA
02/10/2014,2.85,NA,NA,NA,6.08
09/10/2014,2.86,NA,NA,4.88,NA
16/10/2014,2.96,3.17,NA,NA,NA
